----------------------------------------------------------------------------------------------------------------
Search Criteria:,
"     Text Search: "STRIDES" (advanced)"
"     Limit to: Project Title"
----------------------------------------------------------------------------------------------------------------
"NIH Spending Categorization","Project Terms","Project Title","Public Health Relevance","Administering IC","Application ID","Award Notice Date","FOA","Project Number","Type","Activity","IC","Serial Number","Support Year","Suffix","Program Official Information","Project Start Date","Project End Date","Study Section","Subproject Number","Contact PI Person ID","Contact PI / Project Leader","Other PI or Project Leader(s)","Congressional District","Department","DUNS Number","FIPS","Latitude","Longitude","Organization ID (IPF)","Organization Name","Organization City","Organization State","Organization Type","Organization Zip","Organization Country","ARRA Indicator","Budget Start Date","Budget End Date","CFDA Code","Funding Mechanism","Fiscal Year","Total Cost","Total Cost (Sub Projects)","Funding IC(s)","Direct Cost IC","InDirect Cost IC","NIH COVID-19 Response","Total Cost IC",
"No NIH Category available"," ","STRIDES ","n/a","OD","10321730","2/12/2021 12:00:00 AM"," ","3OT2OD027060-01S6","3","OT2","OD","027060","01","S","WEBER, MICHAEL NICHOLAS N","8/1/2018 12:00:00 AM","7/31/2022 12:00:00 AM","ZHL1-SRC(99)"," ","15584968","DRINKWINE, TERRY ","Not Applicable","11","Unavailable","088365767","US"," "," ","10051506","CARAHSOFT TECHNOLOGY CORPORATION","RESTON","VA","Domestic For-Profits","201905328","UNITED STATES","N","1/25/2021 12:00:00 AM","7/31/2022 12:00:00 AM","310","Other","2021","210000"," ","NINDS","200000","0"," ","200000",
"No NIH Category available"," ","STRIDES ","n/a","OD","10321730","2/12/2021 12:00:00 AM"," ","3OT2OD027060-01S6","3","OT2","OD","027060","01","S","WEBER, MICHAEL NICHOLAS N","8/1/2018 12:00:00 AM","7/31/2022 12:00:00 AM","ZHL1-SRC(99)"," ","15584968","DRINKWINE, TERRY ","Not Applicable","11","Unavailable","088365767","US"," "," ","10051506","CARAHSOFT TECHNOLOGY CORPORATION","RESTON","VA","Domestic For-Profits","201905328","UNITED STATES","N","1/25/2021 12:00:00 AM","7/31/2022 12:00:00 AM","310","Other","2021","210000"," ","NCI","10000","0"," ","10000",
"No NIH Category available"," ","STRIDES","n/a","OD","10321729","2/4/2021 12:00:00 AM","RFA-OT-A1-038","3OT2OD027852-01S7","3","OT2","OD","027852","01","S","WEBER, MICHAEL NICHOLAS N","9/27/2018 12:00:00 AM","9/23/2022 12:00:00 AM","ZOD1-SRC(99)"," ","15679024","LIPKIN, JOEL A","Not Applicable","10","Unavailable","089896737","US"," "," ","10052403","FOUR POINTS TECHNOLOGY, LLC","CHANTILLY","VA","Domestic For-Profits","201513834","UNITED STATES","N","1/26/2021 12:00:00 AM","9/23/2022 12:00:00 AM","310","Other","2021","969286"," ","NLM","45000","0"," ","45000",
"No NIH Category available"," ","STRIDES","n/a","OD","10321729","2/4/2021 12:00:00 AM","RFA-OT-A1-038","3OT2OD027852-01S7","3","OT2","OD","027852","01","S","WEBER, MICHAEL NICHOLAS N","9/27/2018 12:00:00 AM","9/23/2022 12:00:00 AM","ZOD1-SRC(99)"," ","15679024","LIPKIN, JOEL A","Not Applicable","10","Unavailable","089896737","US"," "," ","10052403","FOUR POINTS TECHNOLOGY, LLC","CHANTILLY","VA","Domestic For-Profits","201513834","UNITED STATES","N","1/26/2021 12:00:00 AM","9/23/2022 12:00:00 AM","310","Other","2021","969286"," ","NIA","424286","0"," ","424286",
"No NIH Category available"," ","STRIDES","n/a","OD","10321729","2/4/2021 12:00:00 AM","RFA-OT-A1-038","3OT2OD027852-01S7","3","OT2","OD","027852","01","S","WEBER, MICHAEL NICHOLAS N","9/27/2018 12:00:00 AM","9/23/2022 12:00:00 AM","ZOD1-SRC(99)"," ","15679024","LIPKIN, JOEL A","Not Applicable","10","Unavailable","089896737","US"," "," ","10052403","FOUR POINTS TECHNOLOGY, LLC","CHANTILLY","VA","Domestic For-Profits","201513834","UNITED STATES","N","1/26/2021 12:00:00 AM","9/23/2022 12:00:00 AM","310","Other","2021","969286"," ","NCI","500000","0"," ","500000",
"No NIH Category available"," ","STRIDES","n/a","OD","10474119","8/27/2021 12:00:00 AM","RFA-OT-A1-038","3OT2OD027852-01SB","3","OT2","OD","027852","01","S","WEBER, MICHAEL NICHOLAS N","9/27/2018 12:00:00 AM","9/23/2022 12:00:00 AM","ZOD1-SRC(99)"," ","15679024","LIPKIN, JOEL A","Not Applicable","10","Unavailable","089896737","US"," "," ","10052403","FOUR POINTS TECHNOLOGY, LLC","CHANTILLY","VA","Domestic For-Profits","201513834","UNITED STATES","N","8/27/2021 12:00:00 AM","9/23/2022 12:00:00 AM","310","Other","2021","2000000"," ","OD","2000000"," "," ","2000000",
"No NIH Category available"," ","STRIDES ","n/a","OD","10492296","9/22/2021 12:00:00 AM"," ","3OT2OD027060-01S9","3","OT2","OD","027060","01","S","WEBER, MICHAEL NICHOLAS N","8/1/2018 12:00:00 AM","7/31/2022 12:00:00 AM","ZHL1-SRC(99)"," ","15584968","DRINKWINE, TERRY ","Not Applicable","11","Unavailable","088365767","US"," "," ","10051506","CARAHSOFT TECHNOLOGY CORPORATION","RESTON","VA","Domestic For-Profits","201905328","UNITED STATES","N","9/22/2021 12:00:00 AM","7/31/2022 12:00:00 AM","310","Other","2021","4094626"," ","OD","902135","0"," ","902135",
"No NIH Category available"," ","STRIDES ","n/a","OD","10492296","9/22/2021 12:00:00 AM"," ","3OT2OD027060-01S9","3","OT2","OD","027060","01","S","WEBER, MICHAEL NICHOLAS N","8/1/2018 12:00:00 AM","7/31/2022 12:00:00 AM","ZHL1-SRC(99)"," ","15584968","DRINKWINE, TERRY ","Not Applicable","11","Unavailable","088365767","US"," "," ","10051506","CARAHSOFT TECHNOLOGY CORPORATION","RESTON","VA","Domestic For-Profits","201905328","UNITED STATES","N","9/22/2021 12:00:00 AM","7/31/2022 12:00:00 AM","310","Other","2021","4094626"," ","NINDS","200000","0"," ","200000",
"No NIH Category available"," ","STRIDES ","n/a","OD","10492296","9/22/2021 12:00:00 AM"," ","3OT2OD027060-01S9","3","OT2","OD","027060","01","S","WEBER, MICHAEL NICHOLAS N","8/1/2018 12:00:00 AM","7/31/2022 12:00:00 AM","ZHL1-SRC(99)"," ","15584968","DRINKWINE, TERRY ","Not Applicable","11","Unavailable","088365767","US"," "," ","10051506","CARAHSOFT TECHNOLOGY CORPORATION","RESTON","VA","Domestic For-Profits","201905328","UNITED STATES","N","9/22/2021 12:00:00 AM","7/31/2022 12:00:00 AM","310","Other","2021","4094626"," ","NIMHD","60000","0"," ","60000",
"No NIH Category available"," ","STRIDES ","n/a","OD","10492296","9/22/2021 12:00:00 AM"," ","3OT2OD027060-01S9","3","OT2","OD","027060","01","S","WEBER, MICHAEL NICHOLAS N","8/1/2018 12:00:00 AM","7/31/2022 12:00:00 AM","ZHL1-SRC(99)"," ","15584968","DRINKWINE, TERRY ","Not Applicable","11","Unavailable","088365767","US"," "," ","10051506","CARAHSOFT TECHNOLOGY CORPORATION","RESTON","VA","Domestic For-Profits","201905328","UNITED STATES","N","9/22/2021 12:00:00 AM","7/31/2022 12:00:00 AM","310","Other","2021","4094626"," ","NIGMS","1600241","0"," ","1600241",
"No NIH Category available"," ","STRIDES ","n/a","OD","10492296","9/22/2021 12:00:00 AM"," ","3OT2OD027060-01S9","3","OT2","OD","027060","01","S","WEBER, MICHAEL NICHOLAS N","8/1/2018 12:00:00 AM","7/31/2022 12:00:00 AM","ZHL1-SRC(99)"," ","15584968","DRINKWINE, TERRY ","Not Applicable","11","Unavailable","088365767","US"," "," ","10051506","CARAHSOFT TECHNOLOGY CORPORATION","RESTON","VA","Domestic For-Profits","201905328","UNITED STATES","N","9/22/2021 12:00:00 AM","7/31/2022 12:00:00 AM","310","Other","2021","4094626"," ","NIAID","250","0"," ","250",
