----------------------------------------------------------------------------------------------------------------
Search Criteria:,
"     Fiscal Year: Active Projects,  2021,  2020,  2019,  2018,  2017,  2016,  2015,  2014,  2013,  2012,  2011,  2010,  2009,  2008,  2007,  2006,  2005,  2004,  2003,  2002,  2001,  2000,  1999,  1998,  1997,  1996,  1995,  1994,  1993,  1992,  1991,  1990,  1989,  1988,  1987,  1986,  1985"
"     Agency/​Institute/​Center: NCATS"
"     Admin: Yes"
"     Text Search: Translator (and)"
"     Limit to: Project Title,  Project Terms,  Project Abstracts"
----------------------------------------------------------------------------------------------------------------
"NIH Spending Categorization","Project Terms","Project Title","Public Health Relevance","Administering IC","Application ID","Award Notice Date","FOA","Project Number","Type","Activity","IC","Serial Number","Support Year","Suffix","Program Official Information","Project Start Date","Project End Date","Study Section","Subproject Number","Contact PI Person ID","Contact PI / Project Leader","Other PI or Project Leader(s)","Congressional District","Department","DUNS Number","FIPS","Latitude","Longitude","Organization ID (IPF)","Organization Name","Organization City","Organization State","Organization Type","Organization Zip","Organization Country","ARRA Indicator","Budget Start Date","Budget End Date","CFDA Code","Funding Mechanism","Fiscal Year","Total Cost","Total Cost (Sub Projects)","Funding IC(s)","Direct Cost IC","InDirect Cost IC","NIH COVID-19 Response","Total Cost IC",
"No NIH Category available","16p11.2;Back;Collaborations;Data;Data Discovery;Data Set;Data Sources;Disease;Genes;Harvest;Intelligence;Knowledge;Language;Logic;Measures;Mind;Modeling;Modernization;Ontology;Patients;Pharmaceutical Preparations;Phase;Physicians;Provider;Publications;Publishing;Role;Scientist;Simvastatin;Site;Source;Syndrome;Visit;Work;cost;new growth;precision medicine;tool","Doc Sherlock: An Autonomous Relay Agent for Discovering the  ""Unknown Knowns"" in Precision Medicine","n/a","NCATS","10333495","2/6/2021 12:00:00 AM","RFA-OT-A1-009","3OT2TR003435-01S1","3","OT2","TR","003435","01","S","BECK, TYLER","1/24/2020 12:00:00 AM","1/23/2022 12:00:00 AM","ZTR1-SRC(99)"," ","16216083","BYRD, WILLIAM E","MIGHT, MATTHEW BRENDON","07","GENETICS","063690705","US","33.506935","-86.809252","1288803","UNIVERSITY OF ALABAMA AT BIRMINGHAM","BIRMINGHAM","AL","SCHOOLS OF MEDICINE","352940001","UNITED STATES","N","1/24/2021 12:00:00 AM","1/23/2022 12:00:00 AM","350","Other","2021","922253"," ","NCATS","628966","293287"," ","922253",
"No NIH Category available","Address;Algorithms;Asthma;Automobile Driving;Award;Bayesian neural network;Clinical;Clinical Data;Complement;Computational algorithm;Data;Data Analyses;Development;Disease;Ecosystem;Ensure;Environmental Exposure;Etiology;Event;Funding;Genetic Polymorphism;Goals;Infrastructure;Institution;Institutional Review Boards;Knowledge;Methods;Modeling;Modification;Multivariate Analysis;National Institute of Environmental Health Sciences;Neural Network Simulation;Pathway interactions;Patients;Pharmaceutical Preparations;Phase;Privacy;Protocols documentation;Provider;Publishing;Rare Diseases;Registries;Research;Schools;Science;Secure;Security;Services;Specificity;Statistical Algorithm;Statistical Methods;Stress Tests;Time;Translational Research;Variant;Visit;Work;adverse outcome;application programming interface;autoencoder;body system;clinical care;cohort;data sharing;design;improved;innovation;insight;liver injury;machine learning method;patient mobility;patient privacy;preservation;programs;prototype;recurrent neural network;research and development;spatiotemporal;tool","ICEES+ Knowledge Provider: Leveraging Open Clinical and Environmental Data to Accelerate and Drive Innovation in Translational Research and Clinical Care.","n/a","NCATS","10333478","2/9/2021 12:00:00 AM","RFA-OT-A1-009","3OT2TR003430-01S1","3","OT2","TR","003430","01","S","BECK, TYLER","1/23/2020 12:00:00 AM","1/22/2022 12:00:00 AM","ZTR1-SRC(99)"," ","8850713","AHALT, STANLEY CARLTON","KRISHNAMURTHY, ASHOK KUMAR","04","Unavailable","608195277","US","35.926939","-79.038605","578206","UNIV OF NORTH CAROLINA CHAPEL HILL","CHAPEL HILL","NC","Domestic Higher Education","275990001","UNITED STATES","N","1/23/2021 12:00:00 AM","1/22/2022 12:00:00 AM","350","Other","2021","982187"," ","NCATS","782631","199556"," ","982187",
"No NIH Category available","Artificial Intelligence;Behavior;Biochemistry;Bioinformatics;Communities;Custom;Data;Data Science;Databases;Development;Effectiveness;Engineering;Familiarity;Industry;Information Resources;Information Retrieval;Knowledge;Label;Language;Machine Learning;Manuals;Modeling;Molecular Biology;Pattern;Performance;Provider;PubMed;Reporting;Research;Research Personnel;Risk;Semantics;Software Engineering;Structure;Surface;Technology Assessment;Testing;Text;Time;Training;Trust;United States National Institutes of Health;base;case-based;cheminformatics;computer science;experience;insight;prototype;response;syntax","xARA: ARA through Explainable AI","n/a","NCATS","10330631","2/9/2021 12:00:00 AM","RFA-OT-A1-009","3OT2TR003448-01S1","3","OT2","TR","003448","01","S","BECK, TYLER","1/24/2020 12:00:00 AM","1/23/2022 12:00:00 AM","ZTR1-SRC(99)"," ","15931780","GORMLEY, JOSEPH ","WEBER, ROSINA ","07","Unavailable","079532263","US","42.349496","-71.063738","130301","TUFTS MEDICAL CENTER","BOSTON","MA","Independent Hospitals","021111552","UNITED STATES","N","1/24/2021 12:00:00 AM","1/23/2022 12:00:00 AM","350","Other","2021","736476"," ","NCATS","636402","100074"," ","736476",
"No NIH Category available","Algorithms;Architecture;Area;Benchmarking;Clinical;Clinical Data;Clinical Informatics;Clinical Research;Collaborations;Common Data Element;Communities;Community of Practice;Computer software;Cultural Evolution;Data;Data Analyses;Data Set;Development;Discipline;Ecosystem;Evaluation;Evolution;FAIR principles;Fast Healthcare Interoperability Resources;Foundations;Goals;Gold;Health;Health Science Library;Health Sciences;Healthcare;Human;Individual;Informatics;Information Resources;Information Sciences;Information Technology;Infrastructure;Institution;Knowledge;Leadership;Learning;Licensing;Longevity;Metadata;Methodology;Methods;Modeling;Morphologic artifacts;Oregon;Outcome;Patients;Process;Public Health Informatics;Quality Control;Rare Diseases;Reporting;Research;Research Institute;Resources;Scanning;Science;Services;Software Engineering;Software Tools;Synapses;System;Technology;The Jackson Laboratory;Training;Translational Research;United States National Institutes of Health;Universities;Update;Vendor;Vision;Washington;Work;base;biomedical informatics;cloud based;collaborative approach;collaborative environment;data ecosystem;data harmonization;data modeling;data quality;data sharing;data standards;data translator;design;digital health;experience;health care quality;health record;improved;informatics infrastructure;informatics tool;innovation;interoperability;invention;open data;open source;quality assurance;software development;success;tool","A National Center for Digital Health Informatics Innovation","NARRATIVE
We propose to create a national network for enabling digital health research, innovation, and continuous
improvement. The goal is to use information science to impact the way that health care functions and the lives
of those it serves
!","NCATS","10437464","8/3/2021 12:00:00 AM","PA-18-590","7U24TR002306-05","7","U24","TR","002306","05"," ","MISQUITTA, LEONIE","8/15/2021 12:00:00 AM","6/30/2022 12:00:00 AM","ZTR1-CI-9(01)"," ","1869835","HAENDEL, MELISSA A","CHUTE, CHRISTOPHER G; EDDY, JAMES A; EICHMANN, DAVID A.; WILCOX, ADAM BENJAMIN","06","BIOSTATISTICS & OTHER MATH SCI","041096314","US","39.708143","-104.724958","1199905","UNIVERSITY OF COLORADO DENVER","Aurora","CO","SCHOOLS OF PUBLIC HEALTH","800452571","UNITED STATES","N","8/15/2021 12:00:00 AM","6/30/2022 12:00:00 AM","350","Other Research-Related","2021","5295831"," ","NCATS","4699183","596648"," ","5295831",
"No NIH Category available","Academic Medical Centers;Address;Adopted;Architecture;Award;Back;Clinical;Clinical Data;Clinical Informatics;Clinical Research;Clinical Sciences;Collaborations;Communities;Community Hospitals;Computer software;Consumption;Custom;Data;Data Analyses;Data Science;Data Sources;Data Store;Databases;Development;Discipline;Documentation;Electronic Health Record;Engineering;Ensure;Environment;Extensible Markup Language;Fast Healthcare Interoperability Resources;Funding;Future;Goals;Health Personnel;Health Status;Healthcare;Human;Individual;Industry Standard;Informatics;Infrastructure;Institutes;Institution;Intention;Interdisciplinary Study;Investigation;Java;Lead;Left;Linux;Location;Longevity;Methodology;Methods;Mission;Modeling;Names;North Carolina;Occupations;Operative Surgical Procedures;Opiate Addiction;Output;Parents;Patient Care;Patients;Pharmaceutical Preparations;Phase;Population;Population Research;Positioning Attribute;Problem Solving;Procedures;Process;Productivity;Public Health;Readiness;Reading;Records;Research;Research Assistant;Research Institute;Research Personnel;Research Training;Resources;Role;Science;Secure;Services;Site;Software Engineering;Source;Source Code;Structure;Terminology;Testing;Text;Time;Training;Translating;Translational Research;Translations;United States National Institutes of Health;Universities;Update;Validation;Vendor;Visual;Vocabulary;Work;Workforce Development;Writing;analytical tool;benefit sharing;clinical research site;cohort;community intervention;community organizations;computer science;data exchange;data format;data harmonization;data management;data modeling;data resource;data sharing;data standards;data tools;data translator;experience;graduate student;graphical user interface;health data;improved;informatics infrastructure;informatics tool;innovation;interoperability;light weight;novel;open source;peer;prevent;programs;response;software development;tool;uptake;usability;wiki","CAMP FHIR: Lightweight, Open-Source FHIR Conversion Software to Support EHR Data Harmonization and Research","Research Strategy
Background
The current release of CAMP FHIR reads clinical data stored in either the i2b2/ACT or PCORnet common data
models, converts those data to custom database views built to align with the FHIR R4 specification, and
produces JSON-formatted FHIR files on demand. See Figure 1 for an overview of the CAMP FHIR data flow.
Figure 1. Data flow through
CAMP FHIR to produce a
JSON-formatted FHIR file (the
Patient resource, in this
example) from CDM-format
data. This example uses
i2b2/ACT as a source;
PCORnet may also be used.
The resulting FHIR files are in a “bulk” format (i.e., CAMP FHIR’s MedicationRequest output will contain the
FHIR-formatted medication records for all patients in the cohort), and can be consumed by any number of
downstream applications.
Value to the Scientific Community
Mapping an individual clinical data model to FHIR is resource intensive; collaborating institutions may have
“mismatched” data models (in terms of model, version, or both); and new data models will likely continue to
emerge. Thus, there are many sustainability benefits to consolidating around a single data model, or at the
very least providing software to support such consolidation where it is desired.
 CAMP FHIR may also help to address some of the barriers that are currently preventing wider uptake
of FHIR as a clinical data standard for research. CAMP FHIR bridges the gap between the relational model
and FHIR’s serialized format, allowing the user to work with the same data in either or both structures.
Because it does not require access to the EHR itself, but rather works off of research data models, CAMP
FHIR allows research teams that do not have EHR access to use FHIR all the same. Further, as research
informatics work often involves analyzing records for large cohorts of patients, CAMP FHIR allows research
informatics teams to use a structure akin to “bulk” FHIR before the finalized bulk FHIR standard is available.
When the bulk FHIR standard is finalized, CAMP FHIR output will be able to combine seamlessly with “native”
FHIR output from EHR bulk FHIR API endpoints.
 Use of an industry standard like FHIR as a meta-model could also encourage new data sharing
opportunities, such as collaborations between academic medical centers and community hospitals. As EHRs
increasingly adopt FHIR as a standard for data transmission, non-academic clinical organizations are more
likely to produce FHIR-formatted data from their EHR than they are to stand up an instance of i2b2, PCORnet,
or OMOP, which are more commonly found at academic medical centers. The ability to combine CAMP FHIR
output with native FHIR could thus help to democratize the opportunity to participate in data-driven clinical
research.
SA1: Harden CAMP FHIR by implementing additional software development best practices.
To ensure that CAMP FHIR is not only useful, but robust and sustainable, additional resources would allow us
to implement a variety of software engineering best practices within CAMP FHIR’s source code.
➢ Implement formal unit testing. To ensure reliability, we will implement JUnit, a Java unit testing platform. We
will perform unit testing on the current version of CAMP FHIR and develop a standard operating procedure
(SOP) for unit testing for future updates and versions. As part of implementing this SOP, we will deploy a
continuous integration (CI) server in order to automate builds and unit tests.
➢ Improve logging. Currently, troubleshooting CAMP FHIR errors requires reading through a stack-trace,
which can make identifying and resolving bugs difficult. We aim to improve logging with descriptive, easy to
interpret error messages to assist developers and users with problem solving.
➢ Improve version control and documentation. We use GitHub for CAMP FHIR version control today, but do
not leverage several Git features (e.g., tagged releases, community-submitted pull requests, Wiki
documentation) that would enable community contribution and better organization. Version control is
particularly important for CAMP FHIR, which not only has its own versions, but also supports multiple versions
of FHIR and each common data model. Leveraging multiple branches and versioned releases will enable us to,
for example, concurrently support multiple versions of CAMP FHIR to accommodate multiple versions of FHIR.
SA2: Improve interoperability by adding support for bidirectional data transformation and new
high-value FHIR resources.
➢ Enable bidirectional data conversion. We will add functionality to support bidirectional data conversion to
CAMP FHIR, meaning that users could start with a CDM and convert to FHIR, or start with FHIR files and
convert to populated CDM tables (See Figure 2). Supporting bidirectional data conversion would enable (1) the
ability to transform from one CDM to FHIR, and then back to another CDM (e.g., i2b2 -> FHIR -> PCORnet)
without having to write custom Extract – Transform – Load (ETL) jobs and (2) the ability to consume FHIR data
from partner sites with no CDM infrastructure and transform those data into a CDM supported by other project
sites for further analysis.
Figure 2. Proposed bidirectional data flow through CAMP FHIR to produce FHIR files from a CDM, or a CDM
from FHIR files.
➢ Add functionality to support additional FHIR resources and fields. CAMP FHIR currently supports the
following FHIR resources: Patient, Encounter, Condition, Procedure, Observation, and MedicationRequest.
Within each of these resources, CAMP FHIR supports a subset of the available fields that align with the
content of the supported CDMs. To maximize interoperability, we will add functionality to support additional
resources (e.g., MedicationAdministration, Claim, Location), as well as add a more streamlined mechanism for
new resources and fields to be added to the application as FHIR changes and updates with time.
➢ Validate existing and future variable and vocabulary mappings. CAMP FHIR relies on variable and
vocabulary mappings in order to convert from CDM to FHIR (and vice-versa). It is crucial that these mappings
are accurate and well-documented in order to ensure faithful data translation. We will re-examine existing
mappings to ensure they remain up to date with the newest versions of the i2b2/ACT and PCORnet data
models, and will develop an SOP for validation and documentation of all future mappings.
SA3: Improve usability and accessibility by developing a graphical user interface, adding support for
new input types, and ensuring cloud-readiness.
➢ Deploy a Graphical User Interface (GUI). The current version of CAMP FHIR is a command-line application.
Adding a simple GUI will make CAMP FHIR accessible to users who may be less comfortable using the
command line.
➢ Add support for CSV data sources. We recognize that not all clinical data are accessible via a database,
and can instead exist as flat files, such as comma-separated values (CSV). We intend to expand the data
source input options for CAMP FHIR to include CSV files to broaden users’ ability to use CAMP FHIR to
transform data into FHIR.
➢ Dockerize to ensure cloud readiness. Currently, CAMP FHIR exists as a locally installed executable. We will
transform CAMP FHIR into a cloud-ready application by producing a Dockerized version that can be deployed
on any platform (including but not limited to cloud environments provisioned via the NIH STRIDES initiative).
We will test the Dockerized instance on UNC cloud environments, in addition to NIH cloud environments.
Software Engineering Plan
 Month
Aim Task 1 2 3 4 5 6 7 8 9 10 11 12
1 Implement unit testing 
1 Improve logging 
1 Improve version control 
2 Enable bidirectional data conversion 
2 Add new FHIR resources/fields 
2 Validate mappings 
3 Deploy a graphical user interface 
3 Add support for CSV data 
3 Dockerize and test in the cloud 
Team Expertise
Name Role Expertise
Emily
Pfaff Project lead
FHIR; EHR data; common data models (PCORnet, i2b2, OMOP); clinical
terminologies and vocabulary mappings; data analysis (SQL, R); source control (Git)
James
Champion
Lead software
engineer
FHIR; Java/J2EE; JUnit; Spring Framework; Hibernate ORM; SQL;
JavaScript/JSON; XML; Jenkins Continuous Integration; Source Control
(Git/Subversion); Iterative, Spiral, and Waterfall SDLC; STS/Eclipse IDE; Linux OS;
EHR data; common data models (PCORnet, i2b2)
Paul
Kovach Software engineer
JavaScript/JSON/JWE; CSS/SASS/SCSS; Vue/Vuex/Vuetify; Node/Express;
MariaDB; Sequelize ORM; SQL; Source Control (Git); SAML; FHIR; EHR data;
Visual Studio; R/Rstudio; Caliper GISDK; Common data models (PCORnet, i2b2)
TBN GRA
Graduate
research assistant
We will hire a graduate student in computer science, clinical informatics, or other
relevant discipline to assist with engineering and mapping tasks.","NCATS","10402112","9/6/2021 12:00:00 AM","PA-20-272","3UL1TR002489-04S2","3","UL1","TR","002489","04","S","CHANG, SOJU","9/1/2021 12:00:00 AM","2/28/2022 12:00:00 AM","ZTR1(99)"," ","1931246","BUSE, JOHN BERNARD","SHAHEEN, NICHOLAS J","04","INTERNAL MEDICINE/MEDICINE","608195277","US","35.926939","-79.038605","578206","UNIV OF NORTH CAROLINA CHAPEL HILL","CHAPEL HILL","NC","SCHOOLS OF MEDICINE","275990001","UNITED STATES","N","9/6/2021 12:00:00 AM","2/28/2022 12:00:00 AM","350","Research Centers","2021","203479"," ","OD","134063","69416"," ","203479",
"No NIH Category available","Address;Advisory Committees;Binding;Biological;Biology;Cells;Chemicals;Communication;Complex;Data;Data Analyses;Data Set;Databases;Development;Discipline;Disease;Face;Gene Expression;Genes;Genetic Code;Knowledge;Methods;Modeling;Molecular;Names;Pathway interactions;Phenotype;Positioning Attribute;Post-Translational Protein Processing;Process;Production;Proteins;Provider;Research Personnel;Resources;Science;Source;Surface;System;Systems Biology;Terminology;Toxic effect;Translations;Vision;base;data access;data exploration;data structure;data translator;diverse data;experience;experimental study;genetic variant;interest;molecular scale;novel therapeutics;outreach;protein protein interaction;prototype;screening;side effect;small molecule;web-based tool","A Translator Knowledge Provider for Systems Chemical Biology","n/a","NCATS","10332543","2/9/2021 12:00:00 AM","RFA-OT-A1-009","3OT2TR003437-01S1","3","OT2","TR","003437","01","S","BECK, TYLER","1/23/2020 12:00:00 AM","1/22/2022 12:00:00 AM","ZTR1-SRC(99)"," ","1879023","CLEMONS, PAUL ANDREW","Not Applicable","07","Unavailable","623544785","US","42.363318","-71.087781","10021177","BROAD INSTITUTE, INC.","CAMBRIDGE","MA","Research Institutes","021421027","UNITED STATES","N","1/23/2021 12:00:00 AM","1/22/2022 12:00:00 AM","350","Other","2021","759112"," ","NCATS","486610","272502"," ","759112",
"No NIH Category available","Agreement;Arbitration;Budgets;Cohort Studies;Communication;Conflict (Psychology);Data;Data Set;Ensure;Goals;Institution;Intellectual Property;Joints;Knowledge;Medical;Multiomic Data;Nature;Office of Administrative Management;Outcome;Persons;Phase;Pilot Projects;Play;Principal Investigator;Publications;Research;Resources;Role;System;Technology Transfer;Testing;Work;base;cohort;computerized tools;design;knowledge graph;member;multiple omics;novel;product development;programs","EVIDARA: Automated Evidential Support from Raw Data for relay agents in Biomedical KG Queries","n/a","NCATS","10330633","2/6/2021 12:00:00 AM","RFA-OT-A1-009","3OT2TR003450-01S1","3","OT2","TR","003450","01","S","BECK, TYLER","1/24/2020 12:00:00 AM","1/23/2022 12:00:00 AM","ZTR1-SRC(99)"," ","9454292","HUANG, SUI ","BARANZINI, SERGIO E","07","Unavailable","135646524","US","47.622042","-122.337243","4106301","INSTITUTE FOR SYSTEMS BIOLOGY","SEATTLE","WA","Research Institutes","981095263","UNITED STATES","N","1/24/2021 12:00:00 AM","1/23/2022 12:00:00 AM","350","Other","2021","437326"," ","NCATS","331674","105652"," ","437326",
"No NIH Category available","Architecture;Collection;Communities;Development;Ecosystem;Future;Goals;Individual;Infrastructure;Internet;Knowledge;Maintenance;Nature;Output;Phase;Process;Protocols documentation;Provider;Registries;Semantics;Source;System;Translating;Update;design;knowledge base;programs;software development;web app;web services","Expanding the landscape of Translator Knowledge Providers using BioThings SDK and SmartAPI","n/a","NCATS","10330630","2/9/2021 12:00:00 AM","RFA-OT-A1-009","3OT2TR003445-01S1","3","OT2","TR","003445","01","S","BECK, TYLER","1/24/2020 12:00:00 AM","1/23/2022 12:00:00 AM","ZTR1-SRC(99)"," ","11251443","WU, CHUNLEI ","Not Applicable","49","Unavailable","781613492","US","32.903152","-117.243436","7375802","SCRIPPS RESEARCH INSTITUTE","LA JOLLA","CA","Research Institutes","920371000","UNITED STATES","N","1/24/2021 12:00:00 AM","1/23/2022 12:00:00 AM","350","Other","2021","477765"," ","NCATS","269164","208601"," ","477765",
"No NIH Category available","Algorithms;Architecture;Area;Benchmarking;Clinical;Clinical Data;Clinical Informatics;Clinical Research;Collaborations;Common Data Element;Communities;Community of Practice;Computer software;Cultural Evolution;Data;Data Analyses;Data Set;Development;Discipline;Ecosystem;Evaluation;Evolution;FAIR principles;Fast Healthcare Interoperability Resources;Foundations;Goals;Gold;Health;Health Science Library;Health Sciences;Healthcare;Human;Individual;Informatics;Information Resources;Information Sciences;Information Technology;Infrastructure;Institution;Knowledge;Leadership;Learning;Licensing;Longevity;Metadata;Methodology;Methods;Modeling;Morphologic artifacts;Oregon;Outcome;Patients;Process;Public Health Informatics;Quality Control;Rare Diseases;Reporting;Research;Research Institute;Resources;Scanning;Science;Services;Software Engineering;Software Tools;Synapses;System;Technology;The Jackson Laboratory;Training;Translational Research;United States National Institutes of Health;Universities;Update;Vendor;Vision;Washington;Work;base;biomedical informatics;cloud based;cohort;collaborative approach;collaborative environment;coronavirus disease;data ecosystem;data harmonization;data modeling;data quality;data sharing;data standards;data translator;design;digital health;experience;health care quality;health record;improved;informatics infrastructure;informatics tool;innovation;interoperability;invention;open data;open source;quality assurance;software development;success;tool","CD2H - National COVID Cohort Collaborative (N3C)","NARRATIVE
We propose to create a national network for enabling digital health research, innovation, and continuous
improvement. The goal is to use information science to impact the way that health care functions and the lives
of those it serves
!","NCATS","10320152","3/8/2021 12:00:00 AM","PA-20-272","3U24TR002306-04S3","3","U24","TR","002306","04","S","MISQUITTA, LEONIE","3/15/2021 12:00:00 AM","6/30/2021 12:00:00 AM"," "," ","1869835","HAENDEL, MELISSA A","CHUTE, CHRISTOPHER G; EICHMANN, DAVID A.; GUINNEY, JUSTIN ; WILCOX, ADAM BENJAMIN","03","NONE","096997515","US","45.499316","-122.688464","6297007","OREGON HEALTH & SCIENCE UNIVERSITY","PORTLAND","OR","LIBRARIES","972393098","UNITED STATES","N","3/15/2021 12:00:00 AM","6/30/2021 12:00:00 AM","350","Other Research-Related","2021","2148955"," ","NCATS","2076955","72000","Reg-CV","2148955",
"No NIH Category available","Address;Aloral;Architecture;Bioinformatics;Biological;Catalogs;Cell physiology;Chromatin;ClinVar;Collection;Complex;Computational Biology;Computational algorithm;Data;Data Set;Data Sources;Databases;Disease;Disease susceptibility;Feasibility Studies;Foundations;Genes;Genetic;Genetic Diseases;Genomic Segment;Goals;Gold;Graph;Human;Human Genetics;Interview;Knowledge;Knowledge Portal;Link;Mediating;Methodology;Methods;Modeling;Molecular;Online Mendelian Inheritance In Man;Pathogenesis;Pathway interactions;Positioning Attribute;Protocols documentation;Provider;Rare Diseases;Resources;Risk;Running;Science;Services;Source;Specific qualifier value;Susceptibility Gene;System;Techniques;Testing;Tissues;Translating;Translations;United States National Institutes of Health;Untranslated RNA;Vision;base;causal variant;complex data;computational pipelines;computer science;data analysis pipeline;data harmonization;data integration;data translator;disease classification;disorder risk;epigenomics;functional genomics;genetic association;genetic variant;genomic data;human disease;improved;insight;open source;programs;tool;web portal","A Complex Disease Genetics Knowledge Provider for Biomedical Data Translator","n/a","NCATS","10333494","2/9/2021 12:00:00 AM","RFA-OT-A1-009","3OT2TR003433-01S1","3","OT2","TR","003433","01","S","BECK, TYLER","1/23/2020 12:00:00 AM","1/22/2022 12:00:00 AM","ZTR1-SRC(99)"," ","11009964","FLANNICK, JASON ","Not Applicable","07","Unavailable","623544785","US","42.363318","-71.087781","10021177","BROAD INSTITUTE, INC.","CAMBRIDGE","MA","Research Institutes","021421027","UNITED STATES","N","1/23/2021 12:00:00 AM","1/22/2022 12:00:00 AM","350","Other","2021","493324"," ","NCATS","323800","169524"," ","493324",
