----------------------------------------------------------------------------------------------------------------
Search Criteria:,
"     Quick Search Text:  RM-17-026"
----------------------------------------------------------------------------------------------------------------
"NIH Spending Categorization","Project Terms","Project Title","Public Health Relevance","Administering IC","Application ID","Award Notice Date","FOA","Project Number","Type","Activity","IC","Serial Number","Support Year","Suffix","Program Official Information","Project Start Date","Project End Date","Study Section","Subproject Number","Contact PI Person ID","Contact PI / Project Leader","Other PI or Project Leader(s)","Congressional District","Department","DUNS Number","FIPS","Latitude","Longitude","Organization ID (IPF)","Organization Name","Organization City","Organization State","Organization Type","Organization Zip","Organization Country","ARRA Indicator","Budget Start Date","Budget End Date","CFDA Code","Funding Mechanism","Fiscal Year","Total Cost","Total Cost (Sub Projects)","Funding IC(s)","Direct Cost IC","InDirect Cost IC","NIH COVID-19 Response","Total Cost IC",
"No NIH Category available"," ","University of Maryland NIH Data Commons Facilitation Center","n/a","OD","10436585","7/30/2021 12:00:00 AM","RFA-RM-17-026","3OT3OD025459-01S5","3","OT3","OD","025459","01","S","KINSINGER, CHRISTOPHER","9/30/2017 12:00:00 AM","4/30/2022 12:00:00 AM","Data Coordination, Mapping, and Modeling[DCMM]"," ","8229804","WHITE, OWEN R","Not Applicable","07","PUBLIC HEALTH & PREV MEDICINE","188435911","US","39.291412","-76.624753","820104","UNIVERSITY OF MARYLAND BALTIMORE","BALTIMORE","MD","SCHOOLS OF MEDICINE","212011508","UNITED STATES","N","7/1/2021 12:00:00 AM","4/30/2022 12:00:00 AM","310","Other","2021","4888467"," ","OD","4888467"," "," ","4888467",
"No NIH Category available"," ","University of Maryland NIH Data Commons Facilitation Center","n/a","OD","10401664","6/2/2021 12:00:00 AM","RFA-RM-17-026","3OT3OD025459-01S4","3","OT3","OD","025459","01","S","KINSINGER, CHRISTOPHER","9/30/2017 12:00:00 AM","4/30/2022 12:00:00 AM","Data Coordination, Mapping, and Modeling[DCMM]"," ","8229804","WHITE, OWEN R","Not Applicable","07","PUBLIC HEALTH & PREV MEDICINE","188435911","US","39.291412","-76.624753","820104","UNIVERSITY OF MARYLAND BALTIMORE","BALTIMORE","MD","SCHOOLS OF MEDICINE","212011508","UNITED STATES","N","5/7/2021 12:00:00 AM","4/30/2022 12:00:00 AM","310","Other","2021","581111"," ","OD","581111","0"," ","581111",
"Data Science","Attention;Awareness;Communities;Computer Systems;Consensus;Data;Data Analyses;Data Commons;Ecosystem;Effectiveness;Elements;Ensure;Fostering;Funding;Genotype-Tissue Expression Project;Goals;Incubators;Individual;Maryland;Metadata;Modification;Monitor;Pattern;Phase;Research;Resources;Role;Site;System;Systems Analysis;Testing;Time;Training;Trans-Omics for Precision Medicine;United States National Institutes of Health;Universities;Work;comparative;data access;data ecosystem;data resource;data tools;design;digital;effectiveness testing;experience;interest;member;model organisms databases;outreach;portability;provider networks;response;success;tool;web portal","University of Maryland NIH Data Commons Facilitation Center","n/a","OD","10071247","12/21/2019 12:00:00 AM","RFA-RM-17-026","3OT3OD025459-01S3","3","OT3","OD","025459","01","S","KINSINGER, CHRISTOPHER","9/30/2017 12:00:00 AM","6/30/2021 12:00:00 AM","Data Coordination, Mapping, and Modeling[DCMM]"," ","8229804","WHITE, OWEN R","Not Applicable","07","PUBLIC HEALTH & PREV MEDICINE","188435911","US","39.291412","-76.624753","820104","UNIVERSITY OF MARYLAND BALTIMORE","BALTIMORE","MD","SCHOOLS OF MEDICINE","212011508","UNITED STATES","N","9/30/2017 12:00:00 AM","6/30/2021 12:00:00 AM","310","Other","2020","8785440"," ","OD","8785440"," "," ","8785440",
"Cardiovascular; Data Science; Heart Disease; Lung; Networking and Information Technology R&D (NITRD); Precision Medicine; Prevention; Sleep Research","Big Data Methods;Biomedical Research;Blood;Communities;Data;Data Commons;Data Set;Ecosystem;Environment;Heart;Heart Diseases;Hematological Disease;Institutes;Life Cycle Stages;Lung;Lung diseases;Mediation;National Heart, Lung, and Blood Institute;Prevention strategy;Productivity;Research;Research Personnel;Resources;Secure;Sleep;Sleep Disorders;Therapeutic;Trans-Omics for Precision Medicine;United States National Institutes of Health;base;cloud based;crosslink;digital;empowerment;large scale data;novel diagnostics;tool","The Integration of Trans-omics for Precision Medicine (TOPMED) and Other Heart, Lung, Blood and Sleep (HLBS) Data Sets with the Data Commons","n/a","NHLBI","10268588","9/23/2020 12:00:00 AM","RFA-RM-17-026","3OT3HL142478-01S3","3","OT3","HL","142478","01","S","KALTMAN, JONATHAN R","9/30/2017 12:00:00 AM","3/30/2022 12:00:00 AM","Data Coordination, Mapping, and Modeling[DCMM]"," ","10416590","DAVIS-DUSENBERY, BRANDI NICOLE","Not Applicable","07","Unavailable","040525064","US"," "," ","10034307","SEVEN BRIDGES GENOMICS, INC.","CHARLESTOWN","MA","Domestic For-Profits","02129","UNITED STATES","N","9/30/2017 12:00:00 AM","3/30/2022 12:00:00 AM","837","Other","2020","4500000"," ","NHLBI","4500000"," "," ","4500000",
"Cardiovascular; Data Science; Heart Disease; Lung; Networking and Information Technology R&D (NITRD); Precision Medicine; Prevention; Sleep Research","Big Data Methods;Biomedical Research;Blood;Communities;Data;Data Commons;Data Set;Ecosystem;Environment;Heart;Heart Diseases;Hematological Disease;Institutes;Life Cycle Stages;Lung;Lung diseases;Mediation;National Heart, Lung, and Blood Institute;Prevention strategy;Productivity;Research;Research Personnel;Resources;Secure;Sleep;Sleep Disorders;Therapeutic;Trans-Omics for Precision Medicine;United States National Institutes of Health;base;cloud based;crosslink;digital;empowerment;large scale data;novel diagnostics;tool","The Integration of Trans-omics for Precision Medicine (TOPMED) and Other Heart, Lung, Blood and Sleep (HLBS) Data Sets with the Data Commons","n/a","NHLBI","10267913","9/23/2020 12:00:00 AM","RFA-RM-17-026","3OT3HL142479-01S4","3","OT3","HL","142479","01","S","KALTMAN, JONATHAN R","9/30/2017 12:00:00 AM","6/30/2021 12:00:00 AM","Data Coordination, Mapping, and Modeling[DCMM]"," ","8726986","KRISHNAMURTHY, ASHOK KUMAR","Not Applicable","04","Unavailable","608195277","US","35.926939","-79.038605","578206","UNIV OF NORTH CAROLINA CHAPEL HILL","CHAPEL HILL","NC","Domestic Higher Education","275990001","UNITED STATES","N","9/30/2017 12:00:00 AM","6/30/2021 12:00:00 AM","837","Other","2020","975000"," ","NHLBI","975000"," "," ","975000",
"Cardiovascular; Data Science; Heart Disease; Lung; Networking and Information Technology R&D (NITRD); Precision Medicine; Prevention; Sleep Research","Big Data Methods;Biomedical Research;Blood;Communities;Data;Data Commons;Data Set;Ecosystem;Environment;Heart;Heart Diseases;Hematological Disease;Institutes;Life Cycle Stages;Lung;Lung diseases;Mediation;National Heart, Lung, and Blood Institute;Prevention strategy;Productivity;Research;Research Personnel;Resources;Secure;Sleep;Sleep Disorders;Therapeutic;Trans-Omics for Precision Medicine;United States National Institutes of Health;base;cloud based;crosslink;digital;empowerment;large scale data;novel diagnostics;tool","The Integration of Trans-omics for Precision Medicine (TOPMED) and Other Heart, Lung, Blood and Sleep (HLBS) Data Sets with the Data Commons","n/a","NHLBI","10267910","9/24/2020 12:00:00 AM","RFA-RM-17-026","3OT3HL142480-01S3","3","OT3","HL","142480","01","S","KALTMAN, JONATHAN R","9/30/2017 12:00:00 AM","3/30/2022 12:00:00 AM","Data Coordination, Mapping, and Modeling[DCMM]"," ","12001994","AVILLACH, PAUL ","KOHANE, ISAAC S.","07","Unavailable","047006379","US","42.335814","-71.105033","3212902","HARVARD MEDICAL SCHOOL","BOSTON","MA","Domestic Higher Education","021201616","UNITED STATES","N","9/30/2017 12:00:00 AM","3/30/2022 12:00:00 AM","837","Other","2020","2000000"," ","NHLBI","2000000"," "," ","2000000",
"Bioengineering; Data Science; Networking and Information Technology R&D (NITRD); Precision Medicine; Sleep Research","Address;Architecture;Atlases;Automobile Driving;Award;Biological Sciences;Blood;California;Cells;Chicago;Clinical Data;Clinical Management;Complex;Computer software;Costs and Benefits;Creativeness;Data;Data Analyses;Data Commons;Data Science;Data Set;Ecosystem;Encapsulated;Ensure;Environment;Funding;Genome;Genotype-Tissue Expression Project;Goals;Heart;Human;Hybrids;Image;Individual;Institutes;Investigation;Lung;Medical Records;Metals;Modeling;Molecular Profiling;Participant;Philosophy;Production;Readability;Running;Scientist;Sleep;Standardization;Trans-Omics for Precision Medicine;United States National Institutes of Health;Universities;Vision;brain health;cloud based;cohesion;cohort;data format;design;diverse data;genome sequencing;high resolution imaging;human disease;insight;interoperability;model organisms databases;multiple data types;open source;programs;software development;working group","The Integration of Trans-omics for Precision Medicine (TOPMED) and Other Heart, Lung, Blood and Sleep (HLBS) Data Sets with the Data Commons","n/a","NHLBI","10267909","9/24/2020 12:00:00 AM","RFA-RM-17-026","3OT3HL142481-01S3","3","OT3","HL","142481","01","S","KALTMAN, JONATHAN R","9/30/2017 12:00:00 AM","3/30/2022 12:00:00 AM","Data Coordination, Mapping, and Modeling[DCMM]"," ","12500314","PATEN, BENEDICT ","GROSSMAN, ROBERT L.; PHILIPPAKIS, ANTHONY ","20","Unavailable","125084723","US","36.97756","-122.055836","577510","UNIVERSITY OF CALIFORNIA SANTA CRUZ","SANTA CRUZ","CA","Domestic Higher Education","950641077","UNITED STATES","N","9/30/2017 12:00:00 AM","3/30/2022 12:00:00 AM","837","Other","2020","8750000"," ","NHLBI","8750000"," "," ","8750000",
"Cardiovascular; Data Science; Heart Disease; Lung; Networking and Information Technology R&D (NITRD); Precision Medicine; Prevention; Sleep Research","Big Data Methods;Biomedical Research;Blood;Communities;Data;Data Set;Ecosystem;Environment;Heart;Heart Diseases;Hematological Disease;Institutes;Life Cycle Stages;Lung;Lung diseases;Mediation;National Heart, Lung, and Blood Institute;Prevention strategy;Productivity;Research;Research Personnel;Resources;Secure;Sleep;Sleep Disorders;Therapeutic;Trans-Omics for Precision Medicine;United States National Institutes of Health;base;cloud based;crosslink;digital;empowerment;novel diagnostics;tool","The Integration of Trans-omics for Precision Medicine (TOPMED) and Other Heart, Lung, Blood and Sleep (HLBS) Data Sets with the Data Commons","n/a","NHLBI","10001085","9/27/2019 12:00:00 AM","RFA-RM-17-026","3OT3HL142480-01S2","3","OT3","HL","142480","01","S","KALTMAN, JONATHAN R","9/30/2017 12:00:00 AM","9/29/2020 12:00:00 AM","Data Coordination, Mapping, and Modeling[DCMM]"," ","12001994","AVILLACH, PAUL ","Not Applicable","07","Unavailable","047006379","US","42.335814","-71.105033","3212902","HARVARD MEDICAL SCHOOL","BOSTON","MA","Domestic Higher Education","021201616","UNITED STATES","N","9/25/2019 12:00:00 AM","9/29/2020 12:00:00 AM","837","Other","2019","1000000"," ","NHLBI","1000000"," "," ","1000000",
"Cardiovascular; Data Science; Heart Disease; Lung; Networking and Information Technology R&D (NITRD); Precision Medicine; Prevention; Sleep Research","Big Data Methods;Biomedical Research;Blood;Communities;Data;Data Set;Ecosystem;Environment;Heart;Heart Diseases;Hematological Disease;Institutes;Life Cycle Stages;Lung;Lung diseases;Mediation;National Heart, Lung, and Blood Institute;Prevention strategy;Productivity;Research;Research Personnel;Resources;Secure;Sleep;Sleep Disorders;Therapeutic;Trans-Omics for Precision Medicine;United States National Institutes of Health;base;cloud based;crosslink;digital;empowerment;novel diagnostics;tool","The Integration of Trans-omics for Precision Medicine (TOPMED) and Other Heart, Lung, Blood and Sleep (HLBS) Data Sets with the Data Commons","n/a","NHLBI","9999793","9/26/2019 12:00:00 AM","RFA-RM-17-026","3OT3HL142479-01S3","3","OT3","HL","142479","01","S","KALTMAN, JONATHAN R","9/30/2017 12:00:00 AM","9/29/2020 12:00:00 AM","Data Coordination, Mapping, and Modeling[DCMM]"," ","8726986","KRISHNAMURTHY, ASHOK KUMAR","BRADFORD, KIRA ; THESSEN, ANNE E","04","Unavailable","608195277","US","35.926939","-79.038605","578206","UNIV OF NORTH CAROLINA CHAPEL HILL","CHAPEL HILL","NC","Domestic Higher Education","275990001","UNITED STATES","N","9/25/2019 12:00:00 AM","9/29/2020 12:00:00 AM","837","Other","2019","2000000"," ","NHLBI","2000000"," "," ","2000000",
"Cardiovascular; Data Science; Heart Disease; Lung; Networking and Information Technology R&D (NITRD); Precision Medicine; Prevention; Sleep Research","Big Data Methods;Biomedical Research;Blood;Communities;Data;Data Set;Ecosystem;Environment;Heart;Heart Diseases;Hematological Disease;Institutes;Life Cycle Stages;Lung;Lung diseases;Mediation;National Heart, Lung, and Blood Institute;Prevention strategy;Productivity;Research;Research Personnel;Resources;Secure;Sleep;Sleep Disorders;Therapeutic;Trans-Omics for Precision Medicine;United States National Institutes of Health;base;cloud based;crosslink;digital;empowerment;novel diagnostics;tool","The Integration of Trans-omics for Precision Medicine (TOPMED) and Other Heart, Lung, Blood and Sleep (HLBS) Data Sets with the Data Commons","n/a","NHLBI","9999720","9/26/2019 12:00:00 AM","RFA-RM-17-026","3OT3HL142478-01S2","3","OT3","HL","142478","01","S","KALTMAN, JONATHAN R","9/30/2017 12:00:00 AM","9/29/2020 12:00:00 AM","Data Coordination, Mapping, and Modeling[DCMM]"," ","10416590","DAVIS-DUSENBERY, BRANDI NICOLE","Not Applicable","07","Unavailable","040525064","US"," "," ","10034307","SEVEN BRIDGES GENOMICS, INC.","CHARLESTOWN","MA","Domestic For-Profits","02129","UNITED STATES","N","9/25/2019 12:00:00 AM","9/29/2020 12:00:00 AM","837","Other","2019","2500000"," ","NHLBI","2500000"," "," ","2500000",
