"date","count","size"
"2015-09-28 00:00:00",49,114817507558
"2015-09-29 00:00:00",296,955094219579
"2015-09-30 00:00:00",260,925443833351
"2015-10-01 00:00:00",240,848688598845
"2015-10-02 00:00:00",144,615165037482
"2015-10-03 00:00:00",109,598751090741
"2015-10-04 00:00:00",72,666408885677
"2015-10-05 00:00:00",96,911579775384
"2015-10-06 00:00:00",62,267396490879
"2015-10-07 00:00:00",82,1658492514953
"2015-10-08 00:00:00",97,455658524603
"2015-10-09 00:00:00",91,563587261132
"2015-10-10 00:00:00",127,770300644750
"2015-10-11 00:00:00",54,389410919966
"2015-10-12 00:00:00",74,340087245713
"2015-10-13 00:00:00",96,560816902141
"2015-10-14 00:00:00",118,929265854314
"2015-10-15 00:00:00",139,845449691145
"2015-10-16 00:00:00",112,756751648642
"2015-10-17 00:00:00",74,507180233469
"2015-10-18 00:00:00",80,651172690320
"2015-10-19 00:00:00",145,664889233510
"2015-10-20 00:00:00",122,789998374677
"2015-10-21 00:00:00",47,232874637439
"2015-10-22 00:00:00",154,895559011249
"2015-10-23 00:00:00",128,736370727008
"2015-10-24 00:00:00",70,780391899901
"2015-10-25 00:00:00",62,377047476988
"2015-10-26 00:00:00",83,594903127623
"2015-10-27 00:00:00",105,599540914423
"2015-10-28 00:00:00",63,249252580645
"2015-10-29 00:00:00",108,345367815203
"2015-10-30 00:00:00",39,160162672954
"2015-10-31 00:00:00",92,323837722683
"2015-11-01 00:00:00",106,560387909838
"2015-11-02 00:00:00",81,285216171075
"2015-11-03 00:00:00",122,810673211379
"2015-11-04 00:00:00",114,490088831524
"2015-11-05 00:00:00",54,311293937525
"2015-11-06 00:00:00",46,226274680024
"2015-11-07 00:00:00",84,746660834638
"2015-11-08 00:00:00",34,142716250309
"2015-11-09 00:00:00",49,589283194848
"2015-11-10 00:00:00",50,425710577908
"2015-11-11 00:00:00",55,367753829986
"2015-11-12 00:00:00",76,382780472308
"2015-11-13 00:00:00",104,398701542037
"2015-11-14 00:00:00",87,247910829602
"2015-11-15 00:00:00",60,436560363088
"2015-11-16 00:00:00",61,436584983656
"2015-11-17 00:00:00",80,503346848627
"2015-11-18 00:00:00",67,186591192618
"2015-11-19 00:00:00",39,126546477027
"2015-11-20 00:00:00",62,659989790447
"2015-11-21 00:00:00",31,60589241618
"2015-11-22 00:00:00",70,214256789693
"2015-11-23 00:00:00",51,300294991443
"2015-11-24 00:00:00",86,332784193182
"2015-11-25 00:00:00",103,968170517801
"2015-11-26 00:00:00",74,593962309030
"2015-11-27 00:00:00",68,991927961694
"2015-11-28 00:00:00",85,277371855106
"2015-11-29 00:00:00",70,771326222503
"2015-11-30 00:00:00",578,537039910728
"2015-12-01 00:00:00",100,534380860742
"2015-12-02 00:00:00",104,679986778188
"2015-12-03 00:00:00",77,320925682394
"2015-12-04 00:00:00",72,343503900040
"2015-12-05 00:00:00",218,735517837855
"2015-12-06 00:00:00",50,464000889595
"2015-12-07 00:00:00",208,784983279235
"2015-12-08 00:00:00",33,482839457347
"2015-12-09 00:00:00",118,903908293963
"2015-12-10 00:00:00",99,542355555689
"2015-12-11 00:00:00",61,802710160428
"2015-12-12 00:00:00",42,163300930237
"2015-12-13 00:00:00",71,419966447649
"2015-12-14 00:00:00",58,392025164467
"2015-12-15 00:00:00",70,472168470152
"2015-12-16 00:00:00",81,332856605832
"2015-12-17 00:00:00",66,585821461434
"2015-12-18 00:00:00",71,653457994399
"2015-12-19 00:00:00",68,333748543280
"2015-12-20 00:00:00",48,860034377851
"2015-12-21 00:00:00",301,511332917733
"2015-12-22 00:00:00",57,395881031691
"2015-12-23 00:00:00",80,591080845176
"2015-12-24 00:00:00",44,638969693617
"2015-12-25 00:00:00",31,639398943499
"2015-12-26 00:00:00",51,181634102752
"2015-12-27 00:00:00",34,97333751330
"2015-12-28 00:00:00",138,538452578752
"2015-12-29 00:00:00",83,768497775482
"2015-12-30 00:00:00",83,636826022069
"2015-12-31 00:00:00",45,499290336034
"2016-01-01 00:00:00",73,259345544483
"2016-01-02 00:00:00",76,264381528796
"2016-01-03 00:00:00",42,157357610430
"2016-01-04 00:00:00",53,1192573304317
"2016-01-05 00:00:00",85,343747762948
"2016-01-06 00:00:00",104,601476628188
"2016-01-07 00:00:00",28,109071906876
"2016-01-08 00:00:00",33,251505223552
"2016-01-09 00:00:00",94,546551262033
"2016-01-10 00:00:00",61,285813494193
"2016-01-11 00:00:00",68,502149179216
"2016-01-12 00:00:00",79,761052016239
"2016-01-13 00:00:00",111,297784779673
"2016-01-14 00:00:00",61,315126571016
"2016-01-15 00:00:00",60,268365772543
"2016-01-16 00:00:00",98,527169948195
"2016-01-17 00:00:00",68,227241108574
"2016-01-18 00:00:00",42,282304367381
"2016-01-19 00:00:00",86,364616800045
"2016-01-20 00:00:00",37,471237469522
"2016-01-21 00:00:00",131,584830353865
"2016-01-22 00:00:00",86,348265579470
"2016-01-23 00:00:00",81,445385040284
"2016-01-24 00:00:00",77,445726952625
"2016-01-25 00:00:00",127,930869980793
"2016-01-26 00:00:00",61,313445582915
"2016-01-27 00:00:00",138,559086648995
"2016-01-28 00:00:00",72,251843350530
